Name,short,source
Danish CAP Plan for 2023, DK_CAP_2023, 
UK Agricultural Transition Plan 2024, UK_ATP_24, https://www.gov.uk/government/publications/agricultural-transition-plan-2021-to-2024/agricultural-transition-plan-update-january-2024#annex-4-premium-payments
